timestamp,rpm,throttle_pct,speed_kmh
2025-11-11T02:00:00,4741,32.2,29.8
2025-11-11T02:00:01,4945,32.7,31.1
2025-11-11T02:00:02,5100,31.2,31.7
2025-11-11T02:00:03,4873,32.6,30.8
2025-11-11T02:00:04,4984,29.3,28.9
2025-11-11T02:00:05,4696,25.1,27.8
2025-11-11T02:00:06,4995,29.4,28.7
2025-11-11T02:00:07,4976,29.9,26.9
2025-11-11T02:00:08,4811,29.6,26.6
2025-11-11T02:00:09,4609,33.6,28.0
2025-11-11T02:00:10,4874,29.4,29.1
2025-11-11T02:00:11,5042,24.9,27.1
2025-11-11T02:00:12,4942,28.1,28.8
2025-11-11T02:00:13,5084,33.0,28.2
2025-11-11T02:00:14,5371,35.4,29.0
2025-11-11T02:00:15,5381,40.3,29.3
2025-11-11T02:00:16,5190,38.4,31.0
2025-11-11T02:00:17,4983,35.3,31.3
2025-11-11T02:00:18,4836,33.8,30.5
2025-11-11T02:00:19,4963,36.3,30.9
2025-11-11T02:00:20,4860,36.8,31.4
2025-11-11T02:00:21,5093,35.9,33.4
2025-11-11T02:00:22,5215,31.4,31.5
2025-11-11T02:00:23,5413,28.6,29.8
2025-11-11T02:00:24,5627,24.4,29.9
2025-11-11T02:00:25,5619,27.4,29.3
2025-11-11T02:00:26,5914,28.6,29.6
2025-11-11T02:00:27,6000,32.0,28.5
2025-11-11T02:00:28,5953,33.9,27.8
2025-11-11T02:00:29,5739,33.1,26.1
2025-11-11T02:00:30,5701,36.2,25.3
2025-11-11T02:00:31,5891,40.4,25.4
2025-11-11T02:00:32,5987,42.4,26.1
2025-11-11T02:00:33,5804,43.8,24.2
2025-11-11T02:00:34,5771,47.6,22.3
2025-11-11T02:00:35,5800,47.5,22.8
2025-11-11T02:00:36,6023,49.2,23.6
2025-11-11T02:00:37,6032,52.5,24.5
2025-11-11T02:00:38,6276,53.3,24.0
2025-11-11T02:00:39,6419,53.3,23.8
2025-11-11T02:00:40,6467,53.8,22.6
2025-11-11T02:00:41,6168,55.7,22.9
2025-11-11T02:00:42,6081,58.9,21.7
2025-11-11T02:00:43,5951,56.0,20.1
2025-11-11T02:00:44,6115,59.1,21.2
2025-11-11T02:00:45,6077,61.9,22.8
2025-11-11T02:00:46,6073,62.0,22.8
2025-11-11T02:00:47,6131,66.3,23.2
2025-11-11T02:00:48,6365,68.9,23.5
2025-11-11T02:00:49,6208,64.9,25.4
2025-11-11T02:00:50,6408,69.5,23.5
2025-11-11T02:00:51,6442,68.2,22.1
2025-11-11T02:00:52,6622,72.7,21.2
2025-11-11T02:00:53,6618,76.1,20.7
2025-11-11T02:00:54,6565,72.7,22.5
2025-11-11T02:00:55,6664,74.2,24.3
2025-11-11T02:00:56,6934,72.7,22.6
2025-11-11T02:00:57,7099,73.4,20.7
2025-11-11T02:00:58,6936,72.2,19.9
2025-11-11T02:00:59,7041,76.2,20.1
